# Seismic determinations of Moho depth from Assumpcao et al. (2013) as provided
# by Leonardo Uieda.
# This file was modified by Peter Haas (Kiel University):
# + Some receiver function points in Brazil were added (Luz and do Nascimento 2015)
# + Some Andean points based on gravity were removed 
# 
# References
# ----------
# 1. Assumpção, Marcelo; Feng, Mei; Tassara, Andrés; Julià, Jordi (2013): 
# Models of crustal thickness for South America from seismic refraction, 
# receiver functions and surface wave tomography. In: Tectonophysics 609, 
# p. 82–96. DOI: 10.1016/j.tecto.2012.11.014.
# 2. Uieda: https://github.com/pinga-lab/paper-moho-inversion-tesseroids/tree/master/data
# 3. Luz, R.M.N.; Julià, J.; do Nascimento, A. F. (2015): Bulk crustal properties of the 
# Borborema Province, NE Brazil, from P-wave receiver functions. Implications for models of 
# intraplate Cenozoic uplift. In: Tectonophysics 644-645, S. 81–91. 
# DOI: 10.1016/j.tecto.2014.12.017.
# 
# Description
# -----------
# Columns: Longitude, latitude, Moho depth [m]: negative down

-70.989,-14.483,-68108
-71.045,-14.474,-68778
-71.074,-14.451,-68186
-71.132,-14.405,-65929
-71.156,-14.362,-62332
-71.194,-14.331,-68342
-71.229,-14.28,-68374
-71.265,-14.242,-69531
-71.314,-14.201,-72027
-71.37,-14.186,-74266
-71.403,-14.142,-69757
-71.434,-14.099,-68321
-71.448,-14.043,-63653
-71.486,-13.985,-70948
-71.519,-13.871,-68343
-71.506,-13.826,-64856
-71.575,-13.78,-63390
-71.599,-13.737,-73843
-71.624,-13.688,-66196
-71.685,-13.659,-70329
-71.723,-13.615,-67206
-71.771,-13.6,-71641
-71.824,-13.573,-66372
-71.886,-13.55,-65362
-71.942,-13.528,-67950
-75.16,-15.363,-38990
-74.98,-15.143,-23004
-74.99,-14.975,-33908
-74.941,-14.825,-32981
-74.878,-14.826,-36088
-74.704,-14.831,-39518
-74.642,-14.826,-44561
-74.405,-14.669,-60254
-74.273,-14.603,-58197
-74.198,-14.651,-57445
-74.125,-14.695,-56293
-73.997,-14.605,-62373
-73.964,-14.623,-68101
-73.757,-14.645,-65940
-73.647,-14.61,-70304
-73.572,-14.602,-62366
-73.468,-14.558,-61936
-73.468,-14.559,-57835
-73.36,-14.55,-63579
-73.277,-14.52,-63664
-73.206,-14.428,-55150
-73.323,-14.174,-57489
-73.299,-14.039,-58670
-73.229,-14.038,-59303
-73.181,-13.962,-61512
-73.102,-13.941,-61645
-73.057,-13.881,-60281
-72.979,-13.849,-60739
-72.942,-13.776,-62630
-72.926,-13.67,-69867
-72.877,-13.624,-65627
-72.796,-13.552,-71984
-72.738,-13.555,-70668
-72.608,-13.551,-73055
-72.504,-13.505,-66109
-72.445,-13.481,-71378
-72.344,-13.443,-71889
-72.249,-13.487,-70548
-72.166,-13.495,-73046
-72.089,-13.479,-71153
-72.099,-17,-23767
-72.031,-17.017,-20023
-71.789,-17.164,-25741
-71.788,-17.112,-24425
-71.724,-17.071,-28994
-71.707,-17.034,-31180
-71.948,-16.716,-31760
-71.89,-16.681,-37300
-71.873,-16.627,-37290
-71.838,-16.581,-37901
-71.841,-16.497,-39821
-71.824,-16.426,-41528
-71.709,-16.463,-40099
-71.653,-16.418,-46349
-71.615,-16.402,-52473
-71.493,-16.466,-52739
-71.556,-16.325,-52776
-71.414,-16.406,-55879
-71.486,-16.234,-63858
-71.411,-16.213,-62457
-71.347,-16.245,-61543
-71.411,-16.055,-64075
-71.361,-16.063,-63109
-71.282,-16.029,-65247
-71.268,-15.985,-64755
-71.21,-15.958,-63844
-71.192,-15.915,-65136
-71.129,-15.877,-62375
-71.091,-15.837,-66605
-71.062,-15.8,-65759
-71.024,-15.775,-64753
-70.976,-15.763,-68122
-70.899,-15.759,-66392
-70.824,-15.721,-71245
-70.782,-15.681,-65111
-70.757,-15.665,-69029
-70.614,-15.714,-70681
-70.573,-15.674,-72645
-70.493,-15.688,-71246
-70.43,-15.675,-70133
-70.375,-15.672,-70156
-70.346,-15.622,-70044
-70.293,-15.603,-73721
-70.255,-15.576,-74316
-70.182,-15.543,-67845
-70.182,-15.514,-70552
-70.108,-15.469,-67583
-70.071,-15.425,-71962
-70.051,-15.353,-66141
-70.034,-15.318,-66447
-72,-30.1,-22993
-71.75,-30.15,-24264
-71.2,-30.2,-25106
-70.75,-30.25,-44257
-70.5,-30.3,-54082
-70.2,-30.35,-57671
-69.2,-30.4,-57235
-68,-30.45,-54407
-67,-30.55,-48457
-66.5,-30.6,-40208
-66,-30.65,-38741
-65.5,-30.68,-32608
-64.5,-30.7,-35948
-71.5,-30.5,-32589
-69.5,-30.5,-60714
-68.7,-30.5,-59994
-68.3,-30.5,-59117
-67.8,-30.5,-53307
-66.7,-30.5,-39077
-66.2,-30.5,-38621
-65.6,-30.5,-34728
-65.1,-30.5,-34638
-64.5,-30.5,-33071
-71,-36,-49867
-70.5,-36,-47409
-70,-36,-38096
-69.4,-36,-35497
-68.8,-36,-33118
-67.8,-36,-34399
-72.03,-13.61,-66175
-72.61,-14.21,-56431
-72.67,-15.01,-64279
-71.65,-15.1,-63571
-71.13,-15.59,-57512
-71.35,-15.85,-56590
-71.71,-16.53,-42354
-69.92,-17.85,-48772
-68.97,-18.48,-51121
-68.58,-18.04,-52474
-68.74,-18.66,-56137
-67.88,-18.98,-71305
-67.39,-18.61,-73314
-66.5,-19.11,-62691
-66.7,-19.62,-64397
-66.21,-19.4,-60654
-66.33,-20.06,-73120
-66.71,-20.72,-78114
-66.01,-20.79,-69504
-66.62,-21.26,-70825
-66.89,-21.85,-71573
-66.39,-21.9,-66851
-66.52,-22.75,-53478
-66.91,-23.36,-58045
-67.93,-24.08,-44793
-68.14,-22.75,-54081
-67.83,-22.09,-62206
-67.62,-20.97,-71209
-67.85,-20.2,-69343
-68.2,-20.15,-66347
-69.13,-20.64,-52229
-68.88,-20.95,-58589
-68.57,-21.18,-57474
-68.93,-21.47,-56309
-69.2,-21.7,-50927
-67.16,-22.53,-56305
-67.35,-22.61,-55190
-67.45,-22.42,-58382
-67.39,-22.3,-57325
-67.31,-22.37,-58220
-68.84,-27.8,-65094
-67.58,-29.84,-44495
-68.47,-30.93,-51113
-68.4,-31.58,-53345
-69.76,-30.79,-58070
-69.58,-30.98,-55360
-69.57,-31.68,-56973
-69.38,-31.79,-53033
-69.9,-31.93,-55588
-69.57,-32.01,-50584
-69.51,-32.72,-46771
-70.4,-33.78,-39299
-67.44,-33.6,-39601
-69.51,-33.62,-47695
-70.14,-33.48,-45875
-70.21,-33.84,-46386
-70.41,-33.58,-37362
-71.19,-33.39,-34564
-67.42,-32.86,-39573
-68.17,-32.87,-44448
-68.83,-33.09,-44216
-69.65,-32.79,-45660
-70.27,-32.83,-46750
-70.71,-32.85,-48543
-71.1,-32.83,-34091
-67.19,-32.27,-49315
-68.05,-32.39,-49493
-68.77,-32.1,-54366
-69.34,-32.22,-57476
-70.58,-32.5,-42087
-70.58,-32.03,-36652
-67.33,-31.46,-44407
-67.87,-31.58,-49425
-68.68,-31.55,-59319
-70.75,-31.71,-41796
-71.17,-31.75,-28786
-68,-21.7,-55223
-68,-22.7,-55344
-69,-21,-65962
-69,-21.7,-64396
-69,-22.9,-62153
-69,-23.5,-66333
-68.45,-21,-68172
-68,-21,-63190
-67.5,-21,-63159
-67,-21,-71083
-66,-21,-71251
-65,-21,-56409
-64.35,-21,-47868
-68.4,-25.5,-57561
-68,-25.5,-55657
-67.6,-25.5,-54926
-67.1,-25.5,-52869
-66.78,-25.5,-65682
-66.2,-25.5,-62519
-70,-22.5,-33476
-69.5,-22.5,-47446
-69,-22.5,-57409
-68,-22.5,-80123
-67,-22.5,-74352
-66.5,-22.5,-73581
-66,-22.5,-66388
-65,-22.5,-60171
-69,-23.5,-62333
-68.6,-23.5,-69410
-68,-23.5,-65961
-67.5,-23.5,-63505
-67,-23.5,-62810
-66,-23.5,-57419
-65,-23.5,-47867
-70,-24.5,-40248
-69.5,-24.5,-49485
-69,-24.5,-56724
-68.5,-24.5,-63505
-68,-24.5,-52434
